id,lemma,secondaryForm,partOfSpeech,etymology
241,obnoviti,,v.tr. pf.,
242,obogaćati,,v.tr. ipf.,
243,vśako,,adv.,
244,kųdy,,adv.,
245,kursiv,,m.sg.,I
246,kurva,,f.,
247,kųsòk,,m.,
248,adresa,,f.,I
249,kųt,,m.,
250,strašny,,adj.,
251,zoologičny park,,m.,
253,lajati,(laje),v.intr. ipf.,
254,kųkolj,,m.,
255,jevrejsky,,adj.,
256,Angola,,f.sg.,
257,gotoviti,,v.tr. ipf.,
258,kupiti,,v.tr. pf.,
261,padež,,m.,
262,terorističny,,adj.,I
263,šolk,,m.sg.,
264,maj,,m.sg.,I
265,kurort,,m.,D
266,lamati,,v.tr. ipf.,
267,laskati,,v.tr. ipf.,
268,lasica,,f.,
269,sala,,f.,I
270,samy,,adj.,
272,direktor,,m.anim.,I
274,"trista, tristo",,num.card.,
275,diplomat,,m.anim.,I
276,dęsna,,f.,
277,ubijca,,m.anim.,
278,pečęť,,f.,
279,ubijstvo,,n.,
280,možlivy,,adj.,
281,popoludnıje,,n.,
282,jablòko,,n.,
283,kolonizovati,,v.tr. ipf./pf.,I
284,duhovny,,adj.,
286,mrėža,,f.,
287,šofer,,m.anim.,F
288,defis,,m.,I
289,deformovati,,v.tr. ipf.,I
290,inženjerstvo,,n.sg.,F
291,oficiaľny,,adj.,I
292,dųga,,f.,
293,prėstrašiti,,v.tr. pf.,
295,leksikon,,m.,I
296,dękovati,(+3),v.intr. ipf.,
297,zadŕžati,,v.tr. pf.,
298,dětę,,n.,
299,děveŕ,,m.anim.,
300,děvčina,,f.,
301,diskutovati,,v.intr. ipf.,I
302,"hristijan, hristijanin",,m.anim.,I
303,ikra,,f.,
304,distribucija,,f.,I
305,diakon,,m.anim.,I
306,lèn,(ljna),m.sg.,
307,inočto,,pron.indef.,
308,lěvy,,adj.,
309,-lětıje,,n.,
310,mlåtòk,,m.,
311,dodati,(doda),v.tr. pf.,
312,blazn,,m.anim.,
314,osm,,num.card.,
316,govno,,n.,
317,Libija,,f.sg.,
318,kromě,(+2),prep.,
319,limitovati,,v.tr. ipf.,I
320,odpovědaľny,,adj.,
321,lider,,m.anim.,E
322,kto-nebųď,,pron.indef.,
323,boćan,,m.anim.,
324,råzměnjati,,v.tr. ipf.,
327,lisica,,f.,
328,vesna,,f.,
329,lysy,,adj.,
330,organizator,,m.anim.,I
331,Litva,,f.sg.,
332,liturgičny,,adj.,I
333,liva,,f.,
334,lizati,(liže),v.tr. ipf.,
335,lišaj,,m.,
337,"sobě, si",,pron.refl.,
338,liti,(lije),v.tr. ipf.,
339,luč,,m./f.,
340,literatura,,f.,I
341,kal,,m.sg.,
342,lipa,,f.,
343,litòvsky,,adj.,
344,teply,,adj.,
345,čŕv,,m.anim.,
347,pokušati,,v.tr. ipf.,
348,čŕnogorsky,,adj.,
349,"Čŕnogorjan, Čŕnogorjanin",,m.anim.,
350,pan,,m.anim.,
351,privyknųti,,v.tr. pf.,
352,lov,,m.,
353,lòžka,,f.,
355,opozicija,,f.,I
356,ljubiti,,v.tr. ipf.,
358,korab,,m.,
359,Madjar,,m.anim.,
360,kyj,,m.,
361,protestant,,m.anim.,I
362,protiv,(+3),prep.,
363,logičny,,adj.,I
364,"sòglåsno, sųglåsno",(+3),prep.,
366,lono,,n.,
367,lopata,,f.,
368,tona,,f.,I
370,Rumunija,,f.sg.,
371,eksportovati,,v.tr. ipf.,I
372,znati,,v.tr. ipf.,
373,političny,,adj.,I
374,lųk,,m.,
375,lučiti,,v.tr. ipf.,
376,lųka,,f.,
379,maćeha,,f.,
380,plåmenj,,m.,
382,diplomatičny,,adj.,I
383,"malpa, malpica",,f.,
384,bagno,,n.,S
385,låkòť,(låkťa),m.,
386,loś,,m.anim.,
388,pijavica,,f.,
389,uměti,,v.aux. ipf.,
390,prinajmènje,,adv.,
391,mènši,,adj.,
392,utro,,n.,
393,utvŕđati,,v.tr. ipf.,
394,želěznica,,f.,
395,želězo,,n.sg.,
396,medsestra,,f.,
397,metnųti,,v.tr. pf.,
398,deportovati,,v.tr. ipf./pf.,
400,rog,,m.,I
401,gorěti,(gori),v.intr. ipf.,
402,nizky,,adj.,
403,měh,,m.,
404,mirny,,adj.,
405,minaret,,m.,
406,kydati,,v.tr. ipf.,I
407,lěk,,m.,
408,Išpanija,,f.sg.,
409,vysoky,,adj.,
410,tuberkuloza,,f.,
411,požędati,,v.tr. pf.,I
412,vęćši,,adj.,
413,fermer,,m.anim.,
414,dozvoliti,,v.tr. pf.,I
415,vŀkolak,,m.anim.,
416,těsny,,adj.,
417,"iměti, imati",(imaje),v.aux. ipf.,
418,film,,m.,
419,dråga,,f.,I
421,cělj,,m.,
422,sposobnosť,,f.,
423,dosť,,adv.,
425,směh,,m.,
426,pěsòk,,m.,
427,žlėza,,f.,
428,proslavjeny,,adj.,
429,gųsenica,,f.,
430,projekt,,m.,
431,pavųk,,m.anim.,I
432,drågy,,adj.,
434,duh,,m.anim.,
435,dozvaljati,,v.tr. ipf.,
436,drapati,(drape),v.tr. ipf.,
438,upity,,adj.,
439,treťji,,num.ord.,
440,drastičny,,adj.,
442,drapnųti,,v.tr. pf.,I
443,jesenj,,f.,
444,zadovaljati,,v.tr. ipf.,
446,sliva,,f.,
447,slådky,,adj.,
448,kaluža,,f.,
449,drěmnųti,,v.intr. pf.,
450,osvobađati,,v.tr. ipf.,
451,dųb,,m.,
452,Kipr,,m.sg.,
453,podkopati,,v.tr. pf.,
454,sova,,f.,
455,s’paliti,,v.tr. pf.,
456,vŀk,,m.anim.,
457,dva,(dvě),num.card.,
458,"dvadesęť, dvadesęti",,num.card.,
459,tělohrånitelj,,m.anim.,
460,cigareta,,f.,
461,spokojno,,adv.,I
463,spokojny,,adj.,
464,vdova,,f.,
465,dotųd,,adv.,
466,ostati,(ostane),v.intr. pf.,
467,vzęti,(vòzme),v.tr. pf.,
468,dvigati,,v.tr. ipf.,
469,dvigati sę,,v.refl. ipf.,
471,dvignųti,,v.tr. pf.,
472,dvoje,,num.coll.,
473,brådavička,,f.,
474,pętòk,,m.,
475,đban,,m.,
476,dvojny,,adj.,
477,znany,,adj.,
479,srati,,v.intr. ipf.,
480,efektivny,,adj.,
481,dotknųti,,v.tr. pf.,I
482,izključiti,,v.tr. pf.,
484,dostojnosť,,f.sg.,
485,entitet,,m.,
486,eskortovati,,v.tr. ipf.,I
487,"posrėdnji, posrėdny",,adj.,I
488,Estonija,,f.sg.,
489,raz,,m.,I
490,fabrika,,f.,
491,pogrěška,,f.,I
492,gṙḓlo,,n.,
493,bandit,,m.anim.,
494,moḓliti sę,,v.refl. ipf.,I
495,filmovati,,v.tr. ipf./pf.,
496,filozofija,,f.,I
497,kakostny,,adj.,I
498,kųdeŕ,,m.,
499,mlådy,,adj.,
500,odplata,,f.,
501,prėdhoditi,,v.tr. ipf.,
502,lapa,,f.,
505,ostavjati,,v.tr. ipf.,
506,papir,,m.,
507,Džordžija,,f.sg.,
508,kròt,,m.anim.,
510,česnòk,,m.sg.,
511,sinji,,adj.,
512,jego,,pron.poss.,
513,męso,,n.,
514,gaslo,,n.,
515,mękky,,adj.,
516,voziti,,v.tr. ipf.,
517,rany,,adj.,
518,"k, kò",(+3),prep.,
519,kaď,,f.,
520,čŕny,,adj.,
521,infinitiv,,m.,
522,pohvaliti,,v.tr. pf.,I
523,pokryv,,m.,
524,kompensovati,,v.tr. ipf./pf.,
526,zadovoljeny,,adj.,I
527,jastręb,,m.anim.,
528,jebati,(jebe),v.tr. ipf.,
529,teritoriaľny,,adj.,
530,kovati,,v.tr. ipf.,I
531,jedin,"(jedna, jedno)",num.card.,
532,jedin drugogo,,pron.rec.,
533,jedinnadsęť,,num.card.,
534,javiti sę,,v.refl. pf.,
535,končati,,v.tr. ipf.,
536,konèc,,m.,
537,loď,,f.,
538,kopriva,,f.,
539,oranževy,,adj.,
540,jězditi,,v.intr. ipf.,
541,język,,m.,
542,azijatsky,,adj.,
543,paradoks,,m.,
544,hŀm,,m.,I
545,język,,m.,
547,proščati,,v.tr. ipf.,
548,sŀza,,f.,
550,koalicija,,f.,
551,językověd,,m.anim.,I
552,kitajsky,,adj.,
553,Južnoafrikanska Republika,,f.sg.,
554,vòpros,,m.,
555,vòzhod,,m.sg.,
556,vòzdŕžati sę,,v.refl. pf.,
557,vosk,,m.,
558,izvesti,(izvede),v.tr. pf.,
559,kråljevstvo,,n.,
560,sŀnce,,n.,
561,emocionaľny,,adj.,
562,vzajemodějstvo,,n.,I
563,vòorųženy,,adj.,
564,speciaľno,,adv.,
565,sųmŕknųti sę,,v.refl. pf.,I
566,sųtruditi,,v.intr. ipf.,
568,komentovati,,v.tr. ipf.,
569,"vladati, vlåděti",(+5),v.intr. ipf.,I
570,pomněti,(pomni),v.tr. ipf.,
571,zahvatiti,,v.tr. pf.,
573,pŕděti,(pŕdi),v.intr. ipf.,
574,klåtiti,,v.tr. ipf.,
576,zdråvıje,,n.,
577,stabiľny,,adj.,
578,nasilıje,,n.sg.,I
579,v’lězti,,v.intr. pf.,
580,pobuđati,,v.tr. ipf.,
581,planeta,,f.,
582,čisty,,adj.,I
583,dogovor,,m.,
584,činovnik,,m.anim.,
585,pomoŕsky,,adj.,
586,s’věsť,,f.,
587,råzširjati,,v.tr. ipf.,
589,gest,,m.,
590,čislo,,n.,F
591,sŕbskohṙvatsky,,adj.,
592,člověk,,m.anim.,
593,byti,"(jesm, jesi, jest, jesmò, jeste, sųt; byl; bųdų)",v.intr. ipf.,
594,umorjeny,,adj.,
595,råzděliti,,v.tr. pf.,
596,Ukrajinèc,,m.anim.,
597,izpŀniti,,v.tr. pf.,
598,členòk,,m.,
599,členstvo,,n.,
600,člověčstvo,,n.sg.,
601,čmelj,,m.anim.,
602,prėdlagati,,v.tr. ipf.,
603,izumitelj,,m.anim.,
604,kapriz,,m.,
606,bosnijsky,,adj.,I
608,čudovišče,,n.,
610,ćuđi,,adj.,
611,čuti,,v.tr. ipf.,
612,daleky,,adj.,
613,od,(+2),prep.,
614,povŕh,(+2),prep.,
615,pèstry,,adj.,
616,považati,,v.tr. ipf.,
617,s’mųtny,,adj.,
618,sěvernoslovinsky,,adj.,
619,čŕpati,(čŕpe),v.tr. ipf.,
620,blågy,,adj.,
621,pri,(+6),prep.,
622,uražati,,v.tr. ipf.,
623,demonstrativny,,adj.,
624,močar,,m.,I
625,tako mnogo,,adv.,
626,vòzråstlosť,,f.,
627,krasti,(krade),v.tr. ipf.,
628,ovca,,f.,
631,kara,,f.,
632,šans,,m.,
633,izvinjati,,v.tr. ipf.,F
634,izviniti,,v.tr. pf.,
635,moć,,f.,
636,četvŕty,,num.ord.,
637,biznes,,m.,
638,četvŕtòk,,m.,E
639,med,,m.sg.,
640,člen,,m.anim.,
641,izba,,f.,
642,izběgti,(+2),v.intr. pf.,
643,italijansky,,adj.,
644,iz,(+2),prep.,
645,motyka,,f.,
646,motivacija,,f.,
647,s’kråtiti,,v.tr. pf.,I
649,koryto,,n.,
650,planovati,,v.tr. ipf.,
652,posvętiti,,v.tr. pf.,I
655,dogovoriti,,v.tr. pf.,
656,Sěverno morje,,n.sg.,
657,råzum,,m.,
658,kadŀb,,m.,
659,pěše,,adv.,
661,s’pravědlivy,,adj.,
662,popularny,,adj.,
664,dati,(da),v.tr. pf.,I
665,žędati,,v.tr. ipf.,
666,viza,,f.,
668,gryzti,,v.tr. ipf.,I
669,žensky rod,,m.,
670,s’topiti,,v.tr. pf.,
671,gråd,,m.,
673,grib,,m.,
674,griva,,f.,
675,ty,"(tebe/tę, tobě/ti, tobojų)",pron.pers.,
676,gronostaj,,m.anim.,
678,prisęga,,f.,
679,s’råvnjati,,v.tr. ipf.,
680,Gruby Nacionaľny Produkt [GNP],,m.sg.,
681,izråbiti,,v.tr. pf.,
682,izražati,,v.tr. ipf.,
683,dųti,(dme),v.tr. ipf.,
684,oljha,,f.,
685,opęť,,adv.,
686,opisyvati,,v.tr. ipf.,
687,fanatičny,,adj.,
688,grob,,m.,
689,veliky gråd,,m.,I
690,groza,,f.,
691,grozny,,adj.,
692,posrėdstvom,(+2),prep.,
694,dominovati,,v.tr. ipf.,
695,vitęzstvo,,n.,
696,čŕta,,f.,I
697,siľno,,adv.,
698,Gruzija,,f.sg.,
699,deminutiv,,m.,
701,bob,,m.,
702,žęḓlo,,n.,I
703,duša,,f.,
704,věnèc,,m.,
705,vyše veliky,,adj.,
706,horųgva,,f.,
707,provokacija,,f.,
708,hvějati,(hvěje),v.tr. ipf.,
709,ponedělòk,,m.,I
711,izměnjati,,v.tr. ipf.,
712,reakcija,,f.,
715,ideologija,,f.,
716,jego,,pron.pers.,
717,pozdno,,adv.,I
718,i,,conj.,I
719,izraženıje,,n.,
720,råzgovor,,m.,
